,MturkId,Userid,EmailId,TrainingPeriod,Trial,Condition,Decision,EmailType,Action,Confidence,ReactionTime,Correct
289,A13WTEQ06V3B6D,129390671,1177,Training,21,GPT-GPT,false,ham,3,2,1856,1
290,AWWR9PY50W0Z9,638049002,524,Training,37,GPT-GPT,true,phishing,3,4,1704,1
291,A13WTEQ06V3B6D,129390671,761,Training,22,GPT-GPT,false,ham,3,3,1107,1
292,AWWR9PY50W0Z9,638049002,1153,Training,38,GPT-GPT,false,ham,3,4,2059,1
293,A1YZ0ETOCJO1B2,864832498,637,Training,11,GPT-GPT,true,phishing,4,3,1933,1
294,A13WTEQ06V3B6D,129390671,1153,Training,23,GPT-GPT,false,ham,3,2,1064,1
295,A13WTEQ06V3B6D,129390671,624,Training,24,GPT-GPT,true,phishing,4,3,1793,1
296,A1AYQ8E01NSY5Z,140544808,1381,Training,16,GPT-GPT,false,ham,4,2,4358,1
297,AWWR9PY50W0Z9,638049002,1149,Training,39,GPT-GPT,true,ham,3,4,1541,0
298,A13WTEQ06V3B6D,129390671,329,Training,25,GPT-GPT,true,phishing,4,3,1433,1
299,AWWR9PY50W0Z9,638049002,1249,Training,40,GPT-GPT,false,ham,3,2,1509,1
300,A13WTEQ06V3B6D,129390671,81,Training,26,GPT-GPT,true,phishing,3,5,1396,1
301,A1YZ0ETOCJO1B2,864832498,1109,Training,12,GPT-GPT,true,ham,1,2,1848,0
302,A13WTEQ06V3B6D,129390671,5,Training,27,GPT-GPT,true,phishing,4,2,1222,1
303,A13WTEQ06V3B6D,129390671,480,Training,28,GPT-GPT,true,phishing,4,2,913,1
304,AWWR9PY50W0Z9,638049002,285,postTraining,1,GPT-GPT,true,phishing,3,4,3753,1
305,A1AYQ8E01NSY5Z,140544808,889,Training,17,GPT-GPT,true,ham,2,2,3084,0
306,A13WTEQ06V3B6D,129390671,1317,Training,29,GPT-GPT,true,ham,3,2,962,0
307,AIQM86IRETAJN,294224885,507,Training,39,Human-Plain,true,phishing,2,2,717992,1
308,A1YZ0ETOCJO1B2,864832498,953,Training,13,GPT-GPT,false,ham,4,3,12381,1
309,A13WTEQ06V3B6D,129390671,261,Training,30,GPT-GPT,true,phishing,4,3,1131,1
310,AWWR9PY50W0Z9,638049002,745,postTraining,2,GPT-GPT,true,phishing,3,4,14464,1
311,A13WTEQ06V3B6D,129390671,1205,Training,31,GPT-GPT,false,ham,3,0,913,1
312,AWWR9PY50W0Z9,638049002,301,postTraining,3,GPT-GPT,true,phishing,3,4,24532,1
313,A1YZ0ETOCJO1B2,864832498,1333,Training,14,GPT-GPT,false,ham,4,4,3599,1
314,A13WTEQ06V3B6D,129390671,1241,Training,32,GPT-GPT,false,ham,4,0,650,1
315,AWWR9PY50W0Z9,638049002,245,postTraining,4,GPT-GPT,false,phishing,3,4,8708,0
316,A13WTEQ06V3B6D,129390671,665,Training,33,GPT-GPT,true,phishing,4,3,1090,1
317,A1AYQ8E01NSY5Z,140544808,761,Training,18,GPT-GPT,false,ham,4,1,7684,1
318,AWWR9PY50W0Z9,638049002,769,postTraining,5,GPT-GPT,true,ham,3,4,16382,0
319,A13WTEQ06V3B6D,129390671,1237,Training,34,GPT-GPT,false,ham,3,1,1138,1
320,A1YZ0ETOCJO1B2,864832498,1309,Training,15,GPT-GPT,false,ham,4,4,2037,1
321,A13WTEQ06V3B6D,129390671,520,Training,35,GPT-GPT,true,phishing,4,3,816,1
322,A1AYQ8E01NSY5Z,140544808,929,Training,19,GPT-GPT,false,ham,4,2,3715,1
323,AWWR9PY50W0Z9,638049002,1453,postTraining,6,GPT-GPT,false,ham,3,4,13118,1
324,A13WTEQ06V3B6D,129390671,73,Training,36,GPT-GPT,true,phishing,4,3,1075,1
325,A1YZ0ETOCJO1B2,864832498,713,Training,16,GPT-GPT,true,phishing,4,3,3528,1
326,A13WTEQ06V3B6D,129390671,425,Training,37,GPT-GPT,true,phishing,4,3,705,1
327,AWWR9PY50W0Z9,638049002,500,postTraining,7,GPT-GPT,true,phishing,3,4,13250,1
328,A13WTEQ06V3B6D,129390671,941,Training,38,GPT-GPT,false,ham,4,0,609,1
329,AWWR9PY50W0Z9,638049002,969,postTraining,8,GPT-GPT,false,ham,3,4,18092,1
330,A13WTEQ06V3B6D,129390671,389,Training,39,GPT-GPT,false,phishing,4,0,1085,0
331,A1YZ0ETOCJO1B2,864832498,536,Training,17,GPT-GPT,true,phishing,4,3,1703,1
332,A13WTEQ06V3B6D,129390671,861,Training,40,GPT-GPT,false,ham,4,0,1155,1
333,AWWR9PY50W0Z9,638049002,1073,postTraining,9,GPT-GPT,false,ham,3,4,10729,1
334,A1AYQ8E01NSY5Z,140544808,149,Training,20,GPT-GPT,true,phishing,4,2,4289,1
335,A13WTEQ06V3B6D,129390671,681,postTraining,1,GPT-GPT,true,phishing,4,3,2629,1
336,A1YZ0ETOCJO1B2,864832498,409,Training,18,GPT-GPT,true,phishing,4,3,1905,1
337,A13WTEQ06V3B6D,129390671,165,postTraining,2,GPT-GPT,true,phishing,4,3,7218,1
338,A13WTEQ06V3B6D,129390671,737,postTraining,3,GPT-GPT,true,phishing,3,3,6732,1
339,A1AYQ8E01NSY5Z,140544808,697,Training,21,GPT-GPT,true,phishing,4,5,4016,1
340,A1YZ0ETOCJO1B2,864832498,1305,Training,19,GPT-GPT,false,ham,4,4,3493,1
341,A13WTEQ06V3B6D,129390671,1193,postTraining,4,GPT-GPT,false,ham,3,0,9371,1
342,AWWR9PY50W0Z9,638049002,1405,postTraining,10,GPT-GPT,false,ham,3,4,20626,1
343,A13WTEQ06V3B6D,129390671,809,postTraining,5,GPT-GPT,false,ham,3,2,6710,1
344,A3AY0315YWWNXY,625337184,519,preTraining,1,Human-Plain,true,phishing,4,5,13851,1
345,A13WTEQ06V3B6D,129390671,761,postTraining,6,GPT-GPT,false,ham,3,3,9058,1
346,A1AYQ8E01NSY5Z,140544808,1065,Training,22,GPT-GPT,false,ham,4,2,2523,1
347,A1YZ0ETOCJO1B2,864832498,616,Training,20,GPT-GPT,true,phishing,4,3,1835,1
348,A13WTEQ06V3B6D,129390671,73,postTraining,7,GPT-GPT,true,phishing,4,3,11562,1
349,A1AYQ8E01NSY5Z,140544808,1161,Training,23,GPT-GPT,false,ham,4,2,2156,1
350,A13WTEQ06V3B6D,129390671,1417,postTraining,8,GPT-GPT,false,ham,3,2,7718,1
351,A1YZ0ETOCJO1B2,864832498,1121,Training,21,GPT-GPT,false,ham,4,3,2463,1
352,AIQM86IRETAJN,294224885,1284,Training,40,Human-Plain,true,ham,3,2,1326,0
353,A13WTEQ06V3B6D,129390671,209,postTraining,9,GPT-GPT,true,phishing,4,3,11698,1
354,AIQM86IRETAJN,294224885,996,postTraining,1,Human-Plain,false,ham,3,1,2972,1
355,A1AYQ8E01NSY5Z,140544808,1365,Training,24,GPT-GPT,false,ham,4,2,5160,1
356,A3AY0315YWWNXY,625337184,495,preTraining,2,Human-Plain,true,phishing,4,4,19713,1
357,AIQM86IRETAJN,294224885,1328,postTraining,2,Human-Plain,true,ham,2,1,2718,0
358,AIQM86IRETAJN,294224885,551,postTraining,3,Human-Plain,false,phishing,3,1,1837,0
359,A13WTEQ06V3B6D,129390671,157,postTraining,10,GPT-GPT,true,phishing,3,3,11769,1
