UserId,Experiment,ExperimentCondition,EmailId,PhaseTrial,Decision,EmailType,PhaseValue,Confidence,EmailAction,ReactionTime,Correct
166515386,1,Human Written GPT-4 Styled,466.0,5,false,phishing,Training,2,2,3976,0
166515386,1,Human Written GPT-4 Styled,1287.0,4,false,ham,Training,3,1,2947,1
416361962,1,GPT-4 Written GPT-4 Styled,29.0,9,true,phishing,Training,4,5,18424,1
166515386,1,Human Written GPT-4 Styled,1415.0,3,true,ham,Training,2,1,33746,0
416361962,1,GPT-4 Written GPT-4 Styled,833.0,8,false,ham,Training,4,4,21220,1
293449694,1,GPT-4 Written Plain Styled,1062.0,4,false,ham,Training,3,2,13889,1
166515386,1,Human Written GPT-4 Styled,1167.0,2,false,ham,Training,2,2,3335,1
293449694,1,GPT-4 Written Plain Styled,1054.0,3,true,ham,Training,2,5,19357,0
166515386,1,Human Written GPT-4 Styled,1279.0,1,false,ham,Training,1,0,3823,1
416361962,1,GPT-4 Written GPT-4 Styled,165.0,7,true,phishing,Training,4,5,19033,1
166515386,1,Human Written GPT-4 Styled,303.0,10,false,phishing,preTraining,2,2,3156,0
166515386,1,Human Written GPT-4 Styled,975.0,9,false,ham,preTraining,2,1,3963,1
166515386,1,Human Written GPT-4 Styled,759.0,8,true,ham,preTraining,2,0,14056,0
166515386,1,Human Written GPT-4 Styled,622.0,7,false,phishing,preTraining,3,1,8645,0
416361962,1,GPT-4 Written GPT-4 Styled,785.0,6,false,ham,Training,4,4,21057,1
293449694,1,GPT-4 Written Plain Styled,654.0,2,true,phishing,Training,2,5,10362,1
166515386,1,Human Written GPT-4 Styled,1359.0,6,false,ham,preTraining,2,-1,2927,1
166515386,1,Human Written GPT-4 Styled,15.0,5,false,phishing,preTraining,3,1,3177,0
166515386,1,Human Written GPT-4 Styled,570.0,4,true,phishing,preTraining,2,1,11118,1
166515386,1,Human Written GPT-4 Styled,387.0,3,false,phishing,preTraining,3,1,4328,0
416361962,1,GPT-4 Written GPT-4 Styled,512.0,5,true,phishing,Training,4,5,14222,1
293449694,1,GPT-4 Written Plain Styled,122.0,1,true,phishing,Training,3,5,11616,1
166515386,1,Human Written GPT-4 Styled,526.0,2,false,phishing,preTraining,2,4,4913,0
166515386,1,Human Written GPT-4 Styled,983.0,1,true,ham,preTraining,2,1,1694,0
416361962,1,GPT-4 Written GPT-4 Styled,893.0,4,false,ham,Training,2,4,43389,1
293449694,1,GPT-4 Written Plain Styled,1062.0,10,false,ham,preTraining,3,0,44176,1
293449694,1,GPT-4 Written Plain Styled,310.0,9,false,phishing,preTraining,3,2,21878,0
416361962,1,GPT-4 Written GPT-4 Styled,1049.0,3,false,ham,Training,4,1,32715,1
